n,reg_mean,class_prob_mean,class_disc_mean,reg_ste,class_prob_ste,class_disc_ste
1.000000000000000000e+01,5.560000000000000497e-01,5.320000000000000284e-01,3.599999999999999867e-01,2.221999099909808748e-02,2.231483811278943755e-02,2.146625258399798009e-02
2.000000000000000000e+01,9.819999999999999840e-01,9.679999999999999716e-01,8.419999999999999707e-01,5.945754788081996506e-03,7.870959280799259133e-03,1.631171358257616985e-02
3.000000000000000000e+01,1.000000000000000000e+00,9.979999999999999982e-01,9.879999999999999893e-01,0.000000000000000000e+00,1.997998998998748270e-03,4.869496893930624903e-03
4.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.979999999999999982e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.997998998998748270e-03
5.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
