n,reg_mean,class_prob_mean,class_disc_mean,reg_ste,class_prob_ste,class_disc_ste
1.000000000000000000e+01,5.460000000000000409e-01,5.400000000000000355e-01,3.699999999999999956e-01,2.226584828835407107e-02,2.228901074520804951e-02,2.159166505853589435e-02
2.000000000000000000e+01,9.819999999999999840e-01,9.619999999999999662e-01,8.319999999999999618e-01,5.945754788081996506e-03,8.550555537507489520e-03,1.671980861134480731e-02
3.000000000000000000e+01,1.000000000000000000e+00,9.979999999999999982e-01,9.819999999999999840e-01,0.000000000000000000e+00,1.997998998998748270e-03,5.945754788081996506e-03
4.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.979999999999999982e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.997998998998748270e-03
5.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
