n,reg_mean,class_prob_mean,class_disc_mean,reg_ste,class_prob_ste,class_disc_ste
1.000000000000000000e+01,5.600000000000000533e-01,5.420000000000000373e-01,3.900000000000000133e-01,2.219909908081857050e-02,2.228165164434629114e-02,2.181284025522581618e-02
2.000000000000000000e+01,9.839999999999999858e-01,9.539999999999999591e-01,8.399999999999999689e-01,5.611416933360058659e-03,9.368457717255279649e-03,1.639512122553535289e-02
3.000000000000000000e+01,1.000000000000000000e+00,9.979999999999999982e-01,9.899999999999999911e-01,0.000000000000000000e+00,1.997998998998748270e-03,4.449719092257397451e-03
4.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,9.959999999999999964e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.822764602300375982e-03
5.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
