n,mean,ste
5.000000000000000000e+02,1.340000000000000080e-01,1.523443467937028381e-02
1.000000000000000000e+03,1.960000000000000075e-01,1.775297158224503971e-02
1.500000000000000000e+03,3.340000000000000191e-01,2.109236828807993167e-02
2.000000000000000000e+03,4.819999999999999840e-01,2.234618535678964402e-02
2.500000000000000000e+03,5.939999999999999725e-01,2.196196712500954329e-02
3.000000000000000000e+03,7.179999999999999716e-01,2.012341919257261413e-02
4.000000000000000000e+03,8.399999999999999689e-01,1.639512122553535289e-02
5.000000000000000000e+03,9.419999999999999485e-01,1.045332482992851475e-02
