n,mean,ste
5.000000000000000000e+02,9.199999999999999845e-02,1.292563344675996991e-02
1.000000000000000000e+03,1.719999999999999862e-01,1.687696655207919505e-02
1.500000000000000000e+03,2.520000000000000018e-01,1.941628182737364233e-02
2.000000000000000000e+03,3.960000000000000187e-01,2.187162545399861172e-02
2.500000000000000000e+03,6.300000000000000044e-01,2.159166505853589435e-02
3.000000000000000000e+03,8.000000000000000444e-01,1.788854381999831905e-02
4.000000000000000000e+03,9.300000000000000488e-01,1.141052146047672952e-02
5.000000000000000000e+03,9.879999999999999893e-01,4.869496893930625771e-03
