n,mean,ste
5.000000000000000000e+02,1.059999999999999970e-01,1.376691686616869116e-02
1.000000000000000000e+03,1.819999999999999951e-01,1.725549187939885709e-02
1.500000000000000000e+03,3.940000000000000169e-01,2.185241405428699907e-02
2.500000000000000000e+03,7.219999999999999751e-01,2.003576801622538456e-02
3.000000000000000000e+03,8.139999999999999458e-01,1.740137925567970811e-02
4.000000000000000000e+03,9.280000000000000471e-01,1.155993079564060326e-02
5.000000000000000000e+03,9.859999999999999876e-01,5.254331546448129907e-03
