n,mean,ste
5.000000000000000000e+02,8.999999999999999667e-02,1.279843740462092462e-02
1.000000000000000000e+03,1.719999999999999862e-01,1.687696655207919505e-02
1.500000000000000000e+03,3.300000000000000155e-01,2.102855201862458001e-02
2.000000000000000000e+03,4.560000000000000164e-01,2.227393095077741594e-02
2.500000000000000000e+03,6.199999999999999956e-01,2.170714168194421909e-02
3.000000000000000000e+03,7.299999999999999822e-01,1.985447052932915596e-02
4.000000000000000000e+03,8.920000000000000151e-01,1.388063399128440338e-02
5.000000000000000000e+03,9.759999999999999787e-01,6.844559883586380337e-03
