0.13,0.13,0.03,0.07,0.00,0.10,0.03,0.03
0.20,0.00,0.17,0.20,0.27,0.33,0.43,0.37
0.27,0.30,0.40,0.53,0.63,0.67,0.73,0.87
0.33,0.20,0.20,0.50,0.33,0.40,0.40,0.60
0.27,0.10,0.00,0.00,0.03,0.03,0.17,0.43
0.13,0.20,0.17,0.23,0.33,0.43,0.50,0.47
0.27,0.20,0.27,0.33,0.40,0.63,0.63,0.87
0.20,0.20,0.30,0.33,0.53,0.70,0.80,0.83
0.13,0.13,0.10,0.40,0.50,0.53,0.93,1.00
0.23,0.47,0.87,1.00,1.00,1.00,1.00,1.00
