n,mean,ste
5.000000000000000000e+02,4.599999999999999922e-02,9.368457717255279649e-03
1.000000000000000000e+03,2.800000000000000058e-02,7.377804551490910190e-03
1.500000000000000000e+03,4.200000000000000261e-02,8.970618707759234547e-03
2.000000000000000000e+03,4.800000000000000100e-02,9.559916317625379023e-03
2.500000000000000000e+03,4.200000000000000261e-02,8.970618707759234547e-03
3.000000000000000000e+03,5.199999999999999761e-02,9.929350431926551798e-03
4.000000000000000000e+03,5.000000000000000278e-02,9.746794344808962229e-03
5.000000000000000000e+03,4.000000000000000083e-02,8.763560920082657732e-03
