n,mean,ste
1.000000000000000000e+01,4.399999999999999745e-02,9.172131704244112713e-03
2.000000000000000000e+01,5.000000000000000278e-02,9.746794344808962229e-03
3.000000000000000000e+01,3.200000000000000067e-02,7.870959280799260868e-03
4.000000000000000000e+01,6.199999999999999956e-02,1.078480412432233047e-02
5.000000000000000000e+01,5.000000000000000278e-02,9.746794344808962229e-03
